vid,VKE lsit,GPT isVisual Label,GPT + Keywords isVisual Label
,Visual Key Event 3(visual): The vlogger is getting his daughter ready to go to the High Museum of Art.,T,T
,Visual Key Event 4(visual): The vlogger and his daughter arrive at the High Museum of Art.,T,T
,Visual Key Event 5(visual): The vlogger and his daughter explore the museum and take pictures.,T,T
,Visual Key Event 6(visual): The vlogger and his daughter leave the museum and go to Wendy's for dinner.,T,T
,Visual Key Event 7(visual): The vlogger and his daughter eat dinner at Wendy's.,T,T
,Visual Key Event 8(visual): The vlogger and his daughter return home from Wendy's.,T,T
,"Visual Key Event 9(non-visual): The vlogger discusses his plans for the rest of the evening, including going to the gym.",F,F
,Visual Key Event 10(visual): The vlogger returns from the gym and puts his daughter to bed.,T,T
,Visual Key Event 11(visual): The vlogger cleans up the house and does laundry.,T,T
,"Visual Key Event 12(non-visual): The vlogger discusses his plans for the day, including meal prepping and possibly doing something with his back.",F,F
,Visual Key Event 13(non-visual): The vlogger wraps up the vlog for the day.,F,F
,Visual Key Event 14(visual): The vlogger's partner arrives home from work and they discuss a new snack bar she found.,T,T
6vV7-tb6Pxc.txt
,"Visual Key Event 1(visual): The speaker gives a tour of their suite at the Home to Suites by Hilton in Pigeon Forge, highlighting the spaciousness and cleanliness of the suite.",T,T
,"Visual Key Event 2(visual): The speaker showcases the full-size kitchen in the suite, including the full-size fridge, microwave, and dishwasher.",T,T
,"Visual Key Event 3(visual): The speaker explores the storage drawers in the kitchen, revealing various amenities like kitchen towels, a toaster, and a cutting board.",T,T
,"Visual Key Event 4(visual): The speaker shows a general area in the suite where guests can store their belongings or set up to do work, highlighting the numerous outlets and shelf storage.",T,T
,"Visual Key Event 5(visual): The speaker presents the living room area of the suite, pointing out the love seat, ottoman, lamps, and a picture of the Smokies.",T,T
,"Visual Key Event 6(visual): The speaker tours the master bedroom, showing the king-sized bed, another TV, and a larger closet.",T,T
,"Visual Key Event 7(visual): The speaker checks out the bathroom, noting the sliding doors, shower with gel and shampoo dispensers, and the spacious sink area.",T,T
,"Visual Key Event 8(visual): The speaker shows the view from the suite, highlighting the island and the mountains.",T,T
,Visual Key Event 9(visual): The speaker gives a brief tour of the hotel lobby and the breakfast area.,T,T
,"Visual Key Event 10(visual): The speaker shows the hotel's indoor and outdoor swimming pools, highlighting the water slot and play area for kids in the outdoor pool.",T,T
,"Visual Key Event 11(visual): The speaker points out the proximity of the hotel to the Cal Ripken Experience, suggesting it as a convenient place to stay for those attending events there.",T,T
,"Visual Key Event 12(non-visual): The speaker discusses the benefits of the suite's spaciousness, especially for those traveling with children, and the convenience of having separate rooms.",F,F
,"Visual Key Event 13(non-visual): The speaker explains why they chose the Home to Suites by Hilton, citing the one-night stay option, the spaciousness, and the location.",F,F
,Visual Key Event 14(non-visual): The speaker expresses their satisfaction with the suite and the likelihood of staying there again in the future.,F,F
,"Visual Key Event 15(visual): The speaker visits Cinnaholic for breakfast, showing the variety of cinnamon rolls available.",T,T
,"Visual Key Event 16(visual): The speaker tries the gluten-friendly Knotter Roll from Cinnaholic, describing its taste and appearance.",T,T
,Visual Key Event 17(non-visual): The speaker expresses their enjoyment of the cinnamon roll and their intention to return to Cinnaholic.,F,F
,"Visual Key Event 18(visual): The speaker tries the Peanut Butter and Jelly Cinnamon Roll from Cinnaholic, describing its taste and showing its inside.",T,T
,"Visual Key Event 19(visual): The speaker explores the Mountain Mall area, showing the games, the Mountain Monster ride, and the Cream and Sugar Sweet Shop.",T,T
,"Visual Key Event 20(non-visual): The speaker concludes their day in Pigeon Forge, expressing their satisfaction with their stay at the Home to Suites by Hilton and their breakfast at Cinnaholic.",F,F
59hUv75jAyc.txt
,Visual Key Event 1(non-visual): Claire introduces herself and expresses her excitement about finding wishlist items at Dollar Tree.,F,F
,"Visual Key Event 2(non-visual): Claire talks about a cool item she found and bought two of, without specifying what it is.",F,F
,"Visual Key Event 3(non-visual): Claire starts showing the items she bought, starting with a teddy bear for her daughter's stocking.",F,F
,Visual Key Event 4(visual): Claire shows Star Wars puzzles she bought for her brother and husband's brother.,T,T
,Visual Key Event 5(non-visual): Claire talks about buying canine carry out beef flavored dog treats for her dog's stocking.,F,F
,"Visual Key Event 6(non-visual): Claire talks about buying bolero products, including apple cinnamon body cream and terminal hi dry skin lotion.",F,F
,Visual Key Event 7(non-visual): Claire talks about buying a Noah's Ark book for her daughter's stocking.,F,F
,Visual Key Event 8(non-visual): Claire talks about buying Reynolds baked for you stay bright baking cups.,F,F
,Visual Key Event 9(non-visual): Claire talks about buying good and clean disinfectant wipes in two different scents.,F,F
,Visual Key Event 10(non-visual): Claire talks about buying a two pack of dog toys for her dog's stocking and car detailing products for her husband's stocking.,F,F
,Visual Key Event 11(non-visual): Claire talks about buying a candy cane with starburst jellybeans and a jingle bells bracelet for her daughter's stocking.,F,F
,Visual Key Event 12(non-visual): Claire talks about buying a snowman Hershey's bar for her husband's stocking.,F,F
,Visual Key Event 13(non-visual): Claire talks about buying Krusty's baked bakery style cookie mix in the shortbread flavor.,F,F
,"Visual Key Event 14(non-visual): Claire talks about finding a Christmas countdown featuring Mickey Mouse, Donald Duck, and Goofy.",F,F
,Visual Key Event 15(non-visual): Claire talks about finding a notepad with decorative sheets.,F,F
,Visual Key Event 16(non-visual): Claire talks about buying more facial wipes from bolero and an apple cinnamon body oil.,F,F
,Visual Key Event 17(non-visual): Claire talks about finding a cute magnet featuring a food festival grapefruit.,F,F
,"Visual Key Event 18(non-visual): Claire talks about finding the Christmas pickle, a tradition where the first person to find the pickle in the tree gets to open their gift first.",F,F
,Visual Key Event 19(non-visual): Claire talks about buying a clear shower curtain liner.,F,F
,Visual Key Event 20(non-visual): Claire talks about buying minion stickers and a prayer book for her daughter's stocking.,F,F
,Visual Key Event 21(non-visual): Claire talks about finding boot socks and minion and Disney Princess washi tape.,F,F
,Visual Key Event 22(non-visual): Claire talks about finding a virtual reality headset and buying two of them.,F,F
,Visual Key Event 23(non-visual): Claire talks about finding bath bombs in various scents and shapes.,F,F
,"Visual Key Event 24(non-visual): Claire concludes the haul, expressing her excitement about finding the bath bombs and her interest in trying the virtual reality headset.",F,F
,"Visual Key Event 25(non-visual): Claire announces a giveaway of color street nails, asking viewers to comment their favorite Christmas memory to enter.",F,F
,"Visual Key Event 26(non-visual): Claire says goodbye, promising to post a video of her trying the virtual reality headset.",F,F
,"Visual Key Event 27(non-visual): Claire adds some rules for the giveaway, asking viewers to be a subscriber, like the video, and share the video.",F,F
,Visual Key Event 28(non-visual): Claire talks about the longevity of the color street nails and how to preserve leftover strips.,F,F
,Visual Key Event 29(non-visual): Claire reiterates the giveaway rules and the deadline for entry.,F,F
,"Visual Key Event 30(non-visual): Claire says goodbye again, with her daughter Lily also saying goodbye.",F,F
,"Visual Key Event 31(non-visual): Claire adds a postscript about Lily taking a nap and her editing the video, reiterating the giveaway rules and promising to post pictures from Dollar Tree.",F,F
qB-E8q3yK4Q.txt
,"Visual Key Event 1(non-visual): The speaker expresses his intention to clean up the suspension of his car, focusing on the front part.",F,F
,Visual Key Event 2(visual): The speaker begins the cleaning process by spraying down the suspension and using a wheel cleaner and a microfiber cloth.,T,T
,"Visual Key Event 3(visual): The speaker sprays the inner liner of the car, which is already lifted from a previous operation.",T,T
,"Visual Key Event 4(non-visual): The speaker decides not to remove the wheel for the cleaning process, focusing on the springs and the fender liner.",F,F
,Visual Key Event 5(non-visual): The speaker uses a specific cleaning product and sprays it down.,F,F
,Visual Key Event 6(visual): The speaker uses a degreaser and a professional base cleaner to clean the suspension.,T,T
,"Visual Key Event 7(visual): The speaker wipes down the suspension, noting the remaining contamination.",T,T
,Visual Key Event 8(non-visual): The speaker discusses his decision to replace the sway bars and end links on his car.,F,F
,"Visual Key Event 9(non-visual): The speaker advises not to worry about getting the suspension wet during the cleaning process, but to be careful not to scrub too hard on certain parts.",F,F
,"Visual Key Event 10(visual): The speaker gives the suspension a second wipe down and dries it up, noting the improvement in its appearance.",T,T
,"Visual Key Event 11(visual): The speaker proceeds to clean the other side of the car, showing a time-lapse of the process.",T,T
,Visual Key Event 12(non-visual): The speaker lets the car dry for a few minutes and plans to check the height of the suspension.,F,F
,"Visual Key Event 13(visual): The speaker uses a trim detailer to dress up the trim of the car, noting the improvement in its appearance.",T,T
,"Visual Key Event 14(visual): The speaker repeats the process on the other side of the car, noting that some parts are broken.",T,F
,"Visual Key Event 15(non-visual): The speaker concludes the cleaning process, noting that the car looks better and is ready for any upcoming shows.",F,F
,Visual Key Event 16(non-visual): The speaker discusses his plans to get new wheels for the car to enhance its look.,F,F
,Visual Key Event 17(non-visual): The speaker expresses regret over selling his previous wheels and considers getting another set.,F,F
,"Visual Key Event 18(visual): The speaker concludes the video, noting that the car looks much better after the cleaning process.",T,F
Gl5syT9o2yY.txt
Xn_7rwAHpPs.txt
,Visual Key Event 1(non-visual): The instructor introduces the high-intensity workout and mentions that it will be filmed in his garage in Florida.,F,F
,Visual Key Event 2(visual): The instructor starts the workout with running in place and jumping jacks.,T,T
,"Visual Key Event 3(visual): The instructor demonstrates jump squats, counting up to 30.",T,T
,Visual Key Event 4(visual): The instructor takes a break with a forward fold stretch and encourages viewers to take their time.,T,T
,Visual Key Event 5(visual): The instructor resumes the workout with another set of jump squats.,T,T
,Visual Key Event 6(visual): The instructor takes a deep breath and demonstrates a leg stretch.,T,T
,"Visual Key Event 7(visual): The instructor demonstrates a knee-cross exercise, followed by a Child's Pose stretch.",T,T
,Visual Key Event 8(visual): The instructor continues with a plank position exercise and mentions the benefits of a cleaner diet and cardio.,T,T
,Visual Key Event 9(visual): The instructor challenges viewers to do 100 of the previous exercise.,T,T
,Visual Key Event 10(visual): The instructor takes a break with side-to-side leg stretches before resuming the workout.,T,T
,"Visual Key Event 11(non-visual): The instructor concludes the workout with running in place and encourages viewers to make their workouts intense, focused, and fun.",F,F
,Visual Key Event 12(non-visual): The instructor mentions his teaching schedule at Disney University and promotes his workout store.,F,F
Y0jNEWPsrvw.txt
,"Visual Key Event 1(non-visual): The video host, Jimmy, introduces herself and the video's topic, which is her updated Michael Kors handbag collection. She also mentions a gift packaging from Michael Kors.",F,F
,"Visual Key Event 2(visual): Jimmy presents her collection of five handbags and a few small leather goods (SLGs), noting that she uses most of them regularly.",T,T
,"Visual Key Event 3(non-visual): Jimmy explains that she will discuss each bag's pros and cons, show how it looks when worn (mod shots), and then move on to the next bag.",F,F
,"Visual Key Event 4(non-visual): Jimmy encourages viewers to subscribe to her channel, like the video, and follow her on Instagram.",F,F
,Visual Key Event 5(non-visual): Jimmy begins discussing her Michael Kors handbags.,F,F
,"Visual Key Event 6(visual): Jimmy presents the first handbag, the Michael Kors Manhattan Satchel, and discusses its features and her experience using it.",T,T
,"Visual Key Event 7(visual): Jimmy presents the second handbag, the Mercer Gallery, and discusses its features and her experience using it.",T,T
,Visual Key Event 8(non-visual): Jimmy expresses her love for the Mercer Gallery bag multiple times.,F,F
,Visual Key Event 9(non-visual): Jimmy decides to move on to the next bag after expressing her love for the Mercer Gallery bag multiple times.,F,F
,"Visual Key Event 10(visual): Jimmy presents the third handbag, the Ariel Satchel, and discusses its features and her experience using it.",T,T
,"Visual Key Event 11(visual): Jimmy presents the fourth handbag, which she doesn't name, and discusses its features and her sentimental attachment to it.",T,T
,"Visual Key Event 12(visual): Jimmy presents the fifth and final handbag, which she also doesn't name, and discusses its features and her lack of use for it.",T,T
,Visual Key Event 13(non-visual): Jimmy concludes the video by summarizing the bags she presented and expressing hope that viewers enjoyed the video.,F,F
weTM5PlAY_Q.txt
,Visual Key Event 1(non-visual): The speaker expresses gratitude for reaching 5000 subscribers on their channel.,F,F
,Visual Key Event 2(non-visual): The speaker discusses some recording issues and promises to return to recording as soon as possible.,F,F
,"Visual Key Event 3(non-visual): The speaker shares some random thoughts and experiences, including a mention of food and drink.",F,F
,"Visual Key Event 4(visual): The speaker reveals that they had three teeth removed, which is causing them significant pain.",T,T
,"Visual Key Event 5(visual): The speaker is eating Panera soup, which they recommend for anyone who has had surgery.",T,T
,"Visual Key Event 6(visual): The speaker discusses their ongoing pain and the fact that they had to wear gauze the previous day, which made it difficult for them to smile.",T,F
,"Visual Key Event 7(non-visual): The speaker thanks the viewers for watching the vlog, mentions that they will not be making videos until the middle of June due to their dental issues, and asks viewers to like, comment, and subscribe.",F,F
oAb2YE-5qnM.txt
,"Visual Key Event 1(non-visual): The speaker introduces the grocery haul for the month of June, mentioning that most items have arrived except for a bag of pears and Johnson bubble baths.",F,F
,"Visual Key Event 2(non-visual): The speaker mentions that there are fewer cool items as the kids are not going to school, but more cheeses and crackers for easy meals.",F,F
,Visual Key Event 3(non-visual): The speaker mentions that someone named Nisha is assembling a foosball table in the next room.,F,F
,Visual Key Event 4(visual): The speaker begins to go through the fruit and vegetable items in the grocery haul.,T,T
,"Visual Key Event 5(visual): The speaker continues to list the items in the grocery haul, including onions, pears, apples, and cucumbers.",T,T
,"Visual Key Event 6(visual): The speaker continues to list the items in the grocery haul, including bananas, bread, and various types of cheese.",T,T
,"Visual Key Event 7(visual): The speaker continues to list the items in the grocery haul, including bagels, milk, and frozen pizzas.",T,T
,"Visual Key Event 8(visual): The speaker continues to list the items in the grocery haul, including cleaning products and tanning products.",T,T
,"Visual Key Event 9(visual): The speaker mentions buying a floor cleaner due to the kids bringing in mud and grass, necessitating more frequent floor cleaning.",T,F
,"Visual Key Event 10(visual): The speaker continues to list the items in the grocery haul, including more cheese, eggs, and various sauces.",T,T
,"Visual Key Event 11(visual): The speaker continues to list the items in the grocery haul, including pasta, macaroni, and various types of porridge.",T,T
,"Visual Key Event 12(visual): The speaker continues to list the items in the grocery haul, including smoothies, juices, and lettuce.",T,T
,"Visual Key Event 13(visual): The speaker continues to list the items in the grocery haul, including broccoli, corn, peas, and minestrone soup.",T,T
,"Visual Key Event 14(visual): The speaker continues to list the items in the grocery haul, including yogurts, Philadelphia light, and butter.",T,T
,"Visual Key Event 15(visual): The speaker continues to list the items in the grocery haul, including sugars, rice, couscous, and raisins.",T,T
,"Visual Key Event 16(visual): The speaker continues to list the items in the grocery haul, including various types of crackers and coffee.",T,T
,"Visual Key Event 17(non-visual): The speaker concludes the grocery haul, mentioning that she now has to put everything away and that the total cost was 262 euros.",F,F
RBmeiMZQLsA.txt
,"Visual Key Event 1(non-visual): Mark McCulloch introduces himself as a brand marketing, digital social, and employee engagement consultant for hospitality.",F,F
,"Visual Key Event 2(non-visual): Mark discusses the initial impact of the coronavirus on Supersonic, noting that it started off slowly and businesses were doing assessments.",F,F
,"Visual Key Event 3(non-visual): Mark describes the feeling of unease that started to permeate the atmosphere a couple of weeks before the lockdown, with things getting canceled.",F,F
,Visual Key Event 4(non-visual): Mark recounts a conversation with a high-ranking individual who predicted that the situation would follow the pattern seen in other countries.,F,F
,Visual Key Event 5(non-visual): Mark talks about the sudden halt of projects and the cancellation of events as the lockdown approached.,F,F
,Visual Key Event 6(non-visual): Mark expresses his concern about outstanding invoices and the financial impact of the lockdown.,F,F
,"Visual Key Event 7(non-visual): Mark discusses his involvement with the Hospitality Union and his appearance on BBC News, which was subsequently canceled.",F,F
,"Visual Key Event 8(non-visual): Mark talks about his decision to offer his knowledge and expertise for free, creating content to help others during the crisis.",F,F
,"Visual Key Event 9(non-visual): Mark discusses the future of Supersonic and the industry, predicting a shift towards smaller, more agile agencies and the need for investment in brand saving.",F,F
,Visual Key Event 10(non-visual): Mark expresses his excitement about the challenges ahead and his eagerness to be part of the biggest relaunch in history.,F,F
,"Visual Key Event 11(non-visual): Mark discusses the potential benefits for small agencies like Supersonic, suggesting that their actions during the crisis will be remembered and could lead to a broader client base in the future.",F,F
,"Visual Key Event 12(non-visual): Mark concludes the interview, expressing his gratitude for the opportunity to share his insights and looking forward to future discussions.",F,F
Hv0lzJZkfqU.txt
,"Visual Key Event 1(non-visual): The speaker introduces the topic of the video, which is about Trevor Rabin's time with the band Yes.",F,F
,"Visual Key Event 2(non-visual): The speaker discusses how Trevor Rabin joined the band and their successful album ""90125"" with the hit ""Owner of a Lonely Heart"".",F,F
,"Visual Key Event 3(non-visual): The speaker discusses the evolution of the song ""Owner of a Lonely Heart"" from its demo to the final version.",F,F
,"Visual Key Event 4(non-visual): The speaker mentions an interview with John Anderson about his involvement in the song ""Owner of a Lonely Heart"".",F,F
,"Visual Key Event 5(non-visual): The speaker shares his opinion on the album ""90125"" and its mix of pop and progressive rock elements.",F,F
,"Visual Key Event 6(non-visual): The speaker discusses his personal journey with Yes's music, from the 80s era to discovering their 70s classics.",F,F
,"Visual Key Event 7(non-visual): The speaker discusses the album ""Big Generator"" and its struggles with production and creative differences.",F,F
,Visual Key Event 8(non-visual): The speaker discusses the formation of the band Anderson Bruford Wakeman Howe and the departure of Trevor Horn.,F,F
,"Visual Key Event 9(non-visual): The speaker discusses the album ""Union"" and its combination of different projects and band members.",F,F
,"Visual Key Event 10(non-visual): The speaker shares his opinion on Trevor Rabin's contributions to the album ""Union"".",F,F
,"Visual Key Event 11(non-visual): The speaker discusses the aftermath of the ""Union"" tour and the formation of the album ""Talk"".",F,F
,"Visual Key Event 12(non-visual): The speaker shares his opinion on the album ""Talk"" and its lack of a band dynamic.",F,F
,Visual Key Event 13(non-visual): The speaker discusses the end of Trevor Rabin's era with Yes and his transition to film scoring.,F,F
,Visual Key Event 14(non-visual): The speaker discusses Trevor Rabin's return to music and his upcoming work with John Anderson and Rick Wakeman.,F,F
xbSp0TxZpM4.txt
,"Visual Key Event 1(non-visual): Peter Bolland introduces himself and discusses the upcoming additions to their YouTube channel, including their daily morning meetings and coaching sessions.",F,F
,Visual Key Event 2(non-visual): Peter discusses how they can assist both small janitorial companies and larger companies looking to expand.,F,F
,"Visual Key Event 3(non-visual): Peter discusses the pros and cons of hiring an employee, including the responsibilities of buying supplies, paying them regularly, remitting taxes, and maintaining detailed records.",F,F
,"Visual Key Event 4(non-visual): Peter discusses the benefits of having employees, including maintaining control over their attire, equipment, and work schedule.",F,F
,"Visual Key Event 5(non-visual): Peter discusses the transition to using subcontractors and the benefits of this approach, including the ability to negotiate payment terms and the reduced need for management oversight.",F,F
,Visual Key Event 6(non-visual): Peter discusses the importance of training subcontractors correctly on their systems and processes to avoid issues.,F,F
,Visual Key Event 7(non-visual): Peter discusses the impact of cash flow on business growth and how using subcontractors has helped manage this aspect.,F,F
,"Visual Key Event 8(non-visual): Peter discusses the decision between hiring employees or subcontractors, depending on the business's growth goals and control needs.",F,F
,"Visual Key Event 9(non-visual): Peter emphasizes that the same individuals could be hired as either employees or subcontractors, depending on their mindset and individual characteristics.",F,F
,"Visual Key Event 10(non-visual): Peter concludes the discussion, reminding viewers to maintain a clear distinction between employees and subcontractors, and invites viewers to contact their office for more information.",F,F
rss-y2MLjWY.txt
,"Visual Key Event 1(non-visual): The hosts introduce the episode, mentioning they will be visiting Mountain Town Brewing Company and Unruly Brewing Company.",F,F
,"Visual Key Event 2(visual): The hosts arrive at Unruly Brewing Company, describing the rock and roll vibe and friendly atmosphere.",T,T
,"Visual Key Event 3(non-visual): Eric Hoffman, a beer maker, shares his journey from home brewing to becoming a part of Unruly Brewing Company.",F,F
,"Visual Key Event 4(visual): The hosts discuss the layout of the brewery, mentioning the other businesses within the building and its role as a community gathering spot.",T,F
,Visual Key Event 5(non-visual): The hosts discuss the rumors of the brewery being haunted and their experiences with strange occurrences.,F,F
,"Visual Key Event 6(non-visual): The hosts continue their exploration of the haunted brewery, sharing their experiences and reactions.",F,F
,"Visual Key Event 7(visual): The hosts are surprised by a scary costume in the bathroom, leading them to need a beer.",T,T
,"Visual Key Event 8(non-visual): The hosts sample various beers at Unruly Brewing Company, discussing their flavors and the brewery's impact on the local community.",F,F
pSlCKuSSdkA.txt
,Visual Key Event 1(non-visual): The speaker introduces herself and mentions that she needs deodorant.,F,F
,Visual Key Event 2(non-visual): The speaker advises against going to the gym without deodorant and mentions a person named Freddie.,F,F
,Visual Key Event 3(non-visual): The speaker talks about heartbreak and how close it can be.,F,F
,Visual Key Event 4(visual): The speaker shows a lotion she got from Bath and Body Works and emphasizes the importance of having lotion.,T,T
,Visual Key Event 5(non-visual): The speaker talks about her morning routine of putting on lotion after showering.,F,F
,Visual Key Event 6(visual): The speaker discusses her hair care routine and shows her hair products.,T,F
